Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km)
ACURA,ILX,COMPACT,2,4,AS5,Z,9.9
ACURA,ILX,COMPACT,2.4,4,M6,Z,11.2
ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,6
ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,Z,12.7
ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.1
ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,11.9
ACURA,TL,MID-SIZE,3.5,6,AS6,Z,11.8
ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,12.8
ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,13.4
ACURA,TSX,COMPACT,2.4,4,AS5,Z,10.6
ACURA,TSX,COMPACT,2.4,4,M6,Z,11.2
ACURA,TSX,COMPACT,3.5,6,AS5,Z,12.1
ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Z,9.7
ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,18
ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A6,Z,18
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,17.4
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18.1
ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,Z,18
AUDI,A4,COMPACT,2,4,AV8,Z,9.9
AUDI,A4 QUATTRO,COMPACT,2,4,AS8,Z,11.5
AUDI,A4 QUATTRO,COMPACT,2,4,M6,Z,10.8
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AS8,Z,11.5
AUDI,A5 QUATTRO,SUBCOMPACT,2,4,AS8,Z,11.5
AUDI,A5 QUATTRO,SUBCOMPACT,2,4,M6,Z,10.8
AUDI,A6 QUATTRO,MID-SIZE,2,4,AS8,Z,12
AUDI,A6 QUATTRO,MID-SIZE,3,6,AS8,Z,12.8
AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3,6,AS8,D,9.8
AUDI,A7 QUATTRO,MID-SIZE,3,6,AS8,Z,13.3
AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3,6,AS8,D,9.8
AUDI,A8,MID-SIZE,3,6,AS8,Z,13.1
AUDI,A8,MID-SIZE,4,8,AS8,Z,13.7
AUDI,A8 TDI (modified),MID-SIZE,3,6,AS8,D,9.8
AUDI,A8L,FULL-SIZE,3,6,AS8,Z,13.1
AUDI,A8L,FULL-SIZE,4,8,AS8,Z,14.7
AUDI,A8L,FULL-SIZE,6.3,12,AS8,Z,18.7
AUDI,A8L TDI (modified),FULL-SIZE,3,6,AS8,D,9.8
AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2,4,AS8,Z,11.8
AUDI,Q5,SUV - SMALL,2,4,AS8,Z,12
AUDI,Q5,SUV - SMALL,3,6,AS8,Z,12.9
AUDI,Q5 TDI (modified),SUV - SMALL,3,6,AS8,D,10.2
AUDI,Q5 HYBRID,SUV - SMALL,2,4,AS8,Z,9.9
AUDI,Q7,SUV - STANDARD,3,6,AS8,Z,15.1
AUDI,Q7 TDI (modified),SUV - STANDARD,3,6,AS8,D,12.4
AUDI,R8,TWO-SEATER,4.2,8,A7,Z,17.6
AUDI,R8,TWO-SEATER,4.2,8,M6,Z,21.2
AUDI,R8,TWO-SEATER,5.2,10,A7,Z,18.2
AUDI,R8,TWO-SEATER,5.2,10,M6,Z,21.1
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A7,Z,17.6
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,21.2
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A7,Z,18.2
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,21.1
AUDI,RS 5,SUBCOMPACT,4.2,8,A7,Z,15.3
AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A7,Z,15.2
AUDI,RS 7,MID-SIZE,4,8,AS8,Z,15.5
AUDI,S4,COMPACT,3,6,A7,Z,13.2
AUDI,S4,COMPACT,3,6,M6,Z,14.6
AUDI,S5,SUBCOMPACT,3,6,A7,Z,13.2
AUDI,S5,SUBCOMPACT,3,6,M6,Z,14.6
AUDI,S5 CABRIOLET,SUBCOMPACT,3,6,A7,Z,13.3
AUDI,S6,MID-SIZE,4,8,A7,Z,14.2
AUDI,S7,MID-SIZE,4,8,A7,Z,14.2
AUDI,S8,MID-SIZE,4,8,AS8,Z,15.8
AUDI,SQ5,SUV - SMALL,3,6,AS8,Z,14.9
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2,4,A6,Z,10.4
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2,4,A6,Z,10.4
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2,4,A6,Z,11.5
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2,4,A6,Z,11.5
BENTLEY,CONTINENTAL GT,SUBCOMPACT,4,8,AS8,Z,16.3
BENTLEY,CONTINENTAL GT,SUBCOMPACT,6,12,AS8,Z,18.8
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4,8,AS8,Z,17.4
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6,12,AS8,Z,20
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6,12,AS8,Z,20
BENTLEY,FLYING SPUR,MID-SIZE,6,12,AS8,Z,20.3
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3
BMW,320i,COMPACT,2,4,A8,Z,10
BMW,320i,COMPACT,2,4,M6,Z,10.4
BMW,320i xDRIVE,COMPACT,2,4,A8,Z,10.2
BMW,328d xDRIVE,COMPACT,2,4,A8,D,7.6
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2,4,A8,D,7.6
BMW,328i,COMPACT,2,4,A8,Z,10
BMW,328i,COMPACT,2,4,M6,Z,10.4
BMW,328i xDRIVE,COMPACT,2,4,A8,Z,10.6
BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,A8,Z,10.6
BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2,4,A8,Z,10.6
BMW,335i,COMPACT,3,6,A8,Z,11.4
BMW,335i,COMPACT,3,6,M6,Z,11.8
BMW,335i xDRIVE,COMPACT,3,6,A8,Z,11.7
BMW,335i xDRIVE,COMPACT,3,6,M6,Z,11.9
BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,A8,Z,11.9
BMW,428i COUPE,COMPACT,2,4,A8,Z,10
BMW,428i COUPE,COMPACT,2,4,M6,Z,10.4
BMW,428i xDRIVE COUPE,COMPACT,2,4,A8,Z,10.6
BMW,435i COUPE,COMPACT,3,6,A8,Z,11.4
BMW,435i COUPE,COMPACT,3,6,M6,Z,11.8
BMW,435i xDRIVE COUPE,COMPACT,3,6,A8,Z,11.7
BMW,435i xDRIVE COUPE,COMPACT,3,6,M6,Z,11.9
BMW,528i,MID-SIZE,2,4,A8,Z,10.2
BMW,528i xDRIVE,MID-SIZE,2,4,A8,Z,10.6
BMW,535d xDRIVE,MID-SIZE,3,6,A8,D,9.2
BMW,535i xDRIVE,MID-SIZE,3,6,A8,Z,11.9
BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,A8,Z,12.5
BMW,550i xDRIVE,MID-SIZE,4.4,8,A8,Z,14.4
BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A8,Z,15
BMW,640i xDRIVE GRAN COUPE,COMPACT,3,6,A8,Z,11.9
BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,Z,15
BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A8,Z,14.4
BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A8,Z,15
BMW,740Li xDRIVE,FULL-SIZE,3,6,A8,Z,12.5
BMW,750i xDRIVE,FULL-SIZE,4.4,8,A8,Z,15
BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Z,15
BMW,760Li,FULL-SIZE,6,12,A8,Z,18.7
BMW,ACTIVEHYBRID 3,COMPACT,3,6,A8,Z,9.2
BMW,ACTIVEHYBRID 5,MID-SIZE,3,6,A8,Z,10.5
BMW,ACTIVEHYBRID 7L,FULL-SIZE,3,6,A8,Z,10.5
BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A8,Z,15
BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A8,Z,15
BMW,M5,MID-SIZE,4.4,8,AM7,Z,17.3
BMW,M5,MID-SIZE,4.4,8,M6,Z,16.2
BMW,M6,COMPACT,4.4,8,AM7,Z,17.3
BMW,M6,COMPACT,4.4,8,M6,Z,16.2
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.3
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,16.2
BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3
BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,16.2
BMW,X1 xDRIVE28i,SUV - SMALL,2,4,A8,Z,10.6
BMW,X1 xDRIVE35i,SUV - SMALL,3,6,A6,Z,13.2
BMW,X3 xDRIVE28i,SUV - SMALL,2,4,A8,Z,11.2
BMW,X3 xDRIVE35i,SUV - SMALL,3,6,A8,Z,12.6
BMW,X5 xDRIVE35i,SUV - STANDARD,3,6,A8,Z,12.9
BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.3
BMW,X6 M,SUV - STANDARD,4.4,8,A6,Z,18.1
BMW,X6 xDRIVE35i,SUV - STANDARD,3,6,A8,Z,13.6
BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.4
BMW,Z4 sDRIVE28i,TWO-SEATER,2,4,A8,Z,10.8
BMW,Z4 sDRIVE28i,TWO-SEATER,2,4,M6,Z,10.4
BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,AM7,Z,13.7
BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,M6,Z,12.7
BMW,Z4 sDRIVE35is,TWO-SEATER,3,6,AM7,Z,13.7
BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,14.3
BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,X,14.6
BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.5
BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,10.2
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,X,13.7
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,E,18.4
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,X,13.7
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,E,19.4
BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,X,9.6
BUICK,REGAL,MID-SIZE,2,4,AS6,Z,11.5
BUICK,REGAL,MID-SIZE,2,4,M6,Z,11.6
BUICK,REGAL AWD,MID-SIZE,2,4,AS6,Z,12.3
BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,9.6
BUICK,VERANO,COMPACT,2,4,AS6,Z,11.5
BUICK,VERANO,COMPACT,2,4,M6,Z,11.6
BUICK,VERANO,COMPACT,2.4,4,AS6,X,11.3
CADILLAC,ATS,COMPACT,2,4,AS6,Z,11.3
CADILLAC,ATS,COMPACT,2,4,M6,Z,12.1
CADILLAC,ATS,COMPACT,2.5,4,AS6,X,10.5
CADILLAC,ATS,COMPACT,3.6,6,AS6,X,12.8
CADILLAC,ATS AWD,COMPACT,2,4,AS6,Z,11.8
CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,X,13.1
CADILLAC,CTS COUPE,MID-SIZE,3.6,6,AS6,X,13.2
CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,AS6,X,13.3
CADILLAC,CTS SEDAN,MID-SIZE,2,4,AS6,Z,11.9
CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,AS8,X,12.9
CADILLAC,CTS SEDAN AWD,MID-SIZE,2,4,AS6,Z,12.6
CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6,AS6,X,13.1
CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,AS8,Z,15.1
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3,6,AS6,X,12.7
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS6,X,13.3
